Framework,Subject,Course,Domain,Competency,Standard Code,Sub-Standard,Sub-Standard Code
Skills ,Communication,Oral Communication,Audience,Analyzing audience,C.O.A.1,,
Skills ,Communication,Oral Communication,Audience,Tone,C.O.A.2,,
Skills ,Communication,Oral Communication,Audience,Style,C.O.A.3,,
Skills ,Communication,Oral Communication,Audience,"Audience, Situation, Objectives",C.O.A.4,,
Skills ,Communication,Oral Communication,Audience,Concerns of Audience,C.O.A.5,,
Skills ,Communication,Oral Communication,Audience,Content Shaped with the Needs of the Audience,C.O.A.6,,
Skills ,Communication,Oral Communication,Content,Main Idea,C.O.C.1,,
Skills ,Communication,Oral Communication,Content,"Relevant, Compelling and Sufficient",C.O.C.2,,
Skills ,Communication,Oral Communication,Content,"Connection - Main Point, Supporting Content",C.O.C.3,,
Skills ,Communication,Oral Communication,Delivery,Volume,C.O.D.1,,
Skills ,Communication,Oral Communication,Delivery,Projection,C.O.D.2,,
Skills ,Communication,Oral Communication,Delivery,Fluency,C.O.D.3,,
Skills ,Communication,Oral Communication,Delivery,Rate,C.O.D.4,,
Skills ,Communication,Oral Communication,Delivery,Articulation,C.O.D.5,,
Skills ,Communication,Oral Communication,Delivery,Variation,C.O.D.6,,
Skills ,Communication,Oral Communication,Delivery,Filler,C.O.D.7,,
Skills ,Communication,Oral Communication,Organization,Message - meaningful whole,C.O.O.1,Message - Using consisent format devices,C.O.O.1.4
Skills ,Communication,Oral Communication,Organization,Message - linking content,C.O.O.2,Message - Use parallel formatting,C.O.O.2.1
Skills ,Communication,Oral Communication,Organization,Message - linking content,C.O.O.2,Message - Include a strong topic sentence,C.O.O.2.2
Skills ,Communication,Oral Communication,Organization,Message - linking content,C.O.O.2,Message - Use structural signposts,C.O.O.2.3
Skills ,Communication,Oral Communication,Organization,Message - Linking Content,C.O.O.2,Message - Build cohesion ,C.O.O.2.4
Skills ,Communication,Oral Communication,Organization,Strategic Order,C.O.O.3,,
Skills ,Communication,Oral Communication,Task,Address the Task,C.O.T.1,,
Skills ,Communication,Oral Communication,Task,Use Conventions for Genre,C.O.T.2,,
Skills ,Communication,Written Communication,Audience,Analyzing Audience,C.W.A.1,,
Skills ,Communication,Written Communication,Audience,Tone,C.W.A.2,,
Skills ,Communication,Written Communication,Audience,Style,C.W.A.3,,
